Time, RES, VIRT, CPU
2022-03-05 00:06:58.609439, 3400000000, 4181636, 1213.0
2022-03-05 00:06:59.591729, 3400000000, 4181636, 1547.0
2022-03-05 00:07:00.595744, 3400000000, 4181636, 1560.0
2022-03-05 00:07:01.595764, 3500000000, 4206980, 1573.0
2022-03-05 00:07:02.595785, 3600000000, 4291460, 1527.0
2022-03-05 00:07:03.595762, 3600000000, 4356996, 1627.0
2022-03-05 00:07:04.595722, 3700000000, 4390788, 2167.0
2022-03-05 00:07:05.595696, 3700000000, 4424584, 3040.0
2022-03-05 00:07:06.595865, 3700000000, 4424584, 3100.0
2022-03-05 00:07:07.599907, 3600000000, 4325256, 3100.0
2022-03-05 00:07:08.595892, 3700000000, 4390792, 3100.0
2022-03-05 00:07:09.595894, 3600000000, 4340104, 3100.0
2022-03-05 00:07:10.595911, 3600000000, 4340104, 3100.0
2022-03-05 00:07:11.575537, 3600000000, 4373900, 200.0
2022-03-05 00:07:12.575411, 3600000000, 4340104, 100.0
2022-03-05 00:07:13.575464, 3600000000, 4340104, 313.3
2022-03-05 00:07:14.589274, 3600000000, 4340104, 2927.0
2022-03-05 00:07:15.575307, 3500000000, 4266124, 2247.0
2022-03-05 00:07:16.594464, 3600000000, 4365448, 3053.0
2022-03-05 00:07:17.595867, 3600000000, 4416140, 3100.0
2022-03-05 00:07:18.603892, 3600000000, 4316808, 3100.0
2022-03-05 00:07:19.595867, 3600000000, 4414092, 3100.0
2022-03-05 00:07:20.595892, 3600000000, 4331656, 3100.0
2022-03-05 00:07:21.595845, 3600000000, 4348552, 3100.0
2022-03-05 00:07:22.587740, 3600000000, 4382348, 3100.0
2022-03-05 00:07:23.595901, 3600000000, 4414088, 3100.0
2022-03-05 00:07:24.595890, 3600000000, 4382348, 3100.0
2022-03-05 00:07:25.595858, 3600000000, 4414088, 3100.0
2022-03-05 00:07:26.595905, 3600000000, 4414088, 3100.0
2022-03-05 00:07:27.595870, 3600000000, 4414088, 3100.0
2022-03-05 00:07:28.575399, 3600000000, 4414088, 100.0
2022-03-05 00:07:29.591816, 3600000000, 4414088, 100.0
2022-03-05 00:07:30.588636, 3600000000, 4414088, 106.7
2022-03-05 00:07:31.575355, 3600000000, 4414088, 1547.0
2022-03-05 00:07:32.580311, 3600000000, 4414088, 1627.0
2022-03-05 00:07:33.575952, 3600000000, 4348552, 1307.0
2022-03-05 00:07:34.575624, 3600000000, 4479624, 1300.0
2022-03-05 00:07:35.575377, 3600000000, 4414088, 1020.0
2022-03-05 00:07:36.578572, 3600000000, 4420488, 1180.0
2022-03-05 00:07:37.576674, 3500000000, 4386692, 560.0
2022-03-05 00:07:38.591474, 3600000000, 4386692, 2244.0
2022-03-05 00:07:39.591729, 3600000000, 4321156, 2500.0
2022-03-05 00:07:40.606684, 3600000000, 4386692, 2313.0
2022-03-05 00:07:41.596004, 3600000000, 4386692, 2380.0
2022-03-05 00:07:42.595811, 3600000000, 4321156, 2433.0
2022-03-05 00:07:43.607820, 3600000000, 4386692, 2373.0
2022-03-05 00:07:44.598614, 3600000000, 4420488, 2700.0
2022-03-05 00:07:45.587342, 3600000000, 4420488, 2460.0
2022-03-05 00:07:46.595886, 3600000000, 4420488, 2320.0
2022-03-05 00:07:47.575311, 3600000000, 4420488, 420.0
2022-03-05 00:07:48.575601, 3600000000, 4420488, 200.0
2022-03-05 00:07:49.578935, 3600000000, 4420488, 200.0
2022-03-05 00:07:50.575723, 3600000000, 4386692, 1307.0
2022-03-05 00:07:51.575915, 3500000000, 4386692, 2287.0
2022-03-05 00:07:52.575431, 3500000000, 4386692, 1493.0
2022-03-05 00:07:53.624608, 3500000000, 4321156, 2227.0
2022-03-05 00:07:54.610160, 3500000000, 4321156, 2093.0
2022-03-05 00:07:55.603719, 3500000000, 4386692, 2880.0
2022-03-05 00:07:56.611833, 3500000000, 4386692, 2873.0
2022-03-05 00:07:57.595770, 3500000000, 4386692, 2467.0
2022-03-05 00:07:58.615796, 3500000000, 4386692, 2813.0
2022-03-05 00:07:59.595934, 3600000000, 4452228, 2353.0
2022-03-05 00:08:00.589662, 3500000000, 4386692, 3087.0
2022-03-05 00:08:01.595729, 3500000000, 4352900, 3100.0
2022-03-05 00:08:02.596127, 3500000000, 4287364, 3100.0
2022-03-05 00:08:03.603970, 3500000000, 4321160, 106.7
2022-03-05 00:08:04.595925, 3500000000, 4321160, 106.7
2022-03-05 00:08:05.584416, 3400000000, 4287364, 1313.0
2022-03-05 00:08:06.595871, 3400000000, 4287364, 1193.0
2022-03-05 00:08:07.611811, 3400000000, 4352900, 520.0
2022-03-05 00:08:08.595799, 3500000000, 4352900, 1480.0
2022-03-05 00:08:09.615823, 3500000000, 4352900, 1447.0
2022-03-05 00:08:10.603824, 3500000000, 4403588, 1500.0
2022-03-05 00:08:11.600024, 3600000000, 4502916, 1600.0
2022-03-05 00:08:12.599852, 3700000000, 4570504, 1613.0
2022-03-05 00:08:13.603763, 3600000000, 4504968, 1620.0
2022-03-05 00:08:14.603803, 3700000000, 4570504, 1673.0
2022-03-05 00:08:15.596880, 3700000000, 4636040, 1620.0
2022-03-05 00:08:16.599774, 3700000000, 4669836, 1620.0
2022-03-05 00:08:17.603802, 3700000000, 4536712, 1627.0
2022-03-05 00:08:18.599722, 3700000000, 4536712, 1567.0
2022-03-05 00:08:19.591726, 3600000000, 4534664, 1613.0
2022-03-05 00:08:20.599859, 3700000000, 4585356, 1620.0
2022-03-05 00:08:21.603794, 3700000000, 4551560, 1613.0
2022-03-05 00:08:22.599793, 3600000000, 4486024, 1620.0
2022-03-05 00:08:23.599732, 3700000000, 4519820, 1627.0
2022-03-05 00:08:24.604599, 3600000000, 4486024, 1627.0
2022-03-05 00:08:25.599810, 3600000000, 4486024, 1620.0
2022-03-05 00:08:26.595911, 3700000000, 4519820, 100.0
2022-03-05 00:08:27.598637, 3600000000, 4486024, 933.3
2022-03-05 00:08:28.596589, 3600000000, 4486024, 653.3
2022-03-05 00:08:29.587810, 3700000000, 4486024, 926.7
2022-03-05 00:08:30.623925, 3700000000, 4486024, 1047.0
2022-03-05 00:08:31.597129, 3700000000, 4486024, 953.3
2022-03-05 00:08:32.595728, 3600000000, 4452232, 806.7
2022-03-05 00:08:33.575260, 3600000000, 4452232, 926.7
2022-03-05 00:08:34.592046, 3600000000, 4517768, 846.7
2022-03-05 00:08:35.603707, 3600000000, 4517768, 1020.0
2022-03-05 00:08:36.596447, 3600000000, 4557956, 1147.0
2022-03-05 00:08:37.599769, 3700000000, 4714372, 1367.0
2022-03-05 00:08:38.599775, 3800000000, 4716424, 1547.0
